Wind Speed (km/h),w,wnw,nw,nnw,n,nne,ne,ene,e,ese,se,sse,s,ssw,sw,wsw,Sum
0,2,0,1,0,1,1,0,2,0,1,0,0,3,1,2,0,14
0.5,35,21,27,19,29,21,16,27,16,23,19,21,33,22,27,22,378
3,131,117,115,85,73,53,52,70,72,90,102,104,126,104,116,104,1514
8.5,227,162,151,98,67,55,61,93,123,153,169,145,160,160,190,203,2217
15.5,278,170,114,82,53,43,50,91,149,188,181,144,154,188,223,260,2368
23.5,193,94,51,43,32,30,37,58,92,110,96,74,96,129,149,169,1453
33,88,49,17,16,15,13,15,27,40,40,27,28,36,51,74,75,611
44,25,14,7,7,6,4,6,6,8,10,7,5,8,13,23,28,177
55.5,8,5,1,1,1,1,2,1,2,0,0,1,2,2,5,10,42
Sum,950,611,456,332,247,199,223,346,486,591,582,501,582,647,780,849,8760
